title,product_type,variants,description,product link
Alexandria,Hardside Luggage,Green & Yellow / Small - ₹6499.00,"Durable, compact hard-side suitcase (2-3 days, 8kg) with TSA lock, spinner wheels, and premium interior. 5-year shell/1-year accessory warranty (wear & tear excluded).",https://tinyurl.com/29d5fe4j
Alexandria,Luggage Sets,Green & Yellow / Medium-Large - ₹17498.00,"Durable 2-piece luggage set (medium & large) with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/2bqtqm4p
Alexandria,Hardside Luggage,Green & Yellow / Large - ₹9499.00,"Durable, large hard-shell suitcase (20kg) with TSA lock, spinner wheels, and roomy interior. 5-year shell/1-year accessory warranty.",https://tinyurl.com/25744ftf
Alexandria,Luggage Sets,Green & Yellow / Small-Medium - ₹14498.00,"2-piece luggage set (20""/24"") for short trips.  TSA lock, spinner wheels, 5-year shell warranty.",https://tinyurl.com/25wrvhdz
Alexandria,Luggage Sets,Green & Yellow / Small-Medium-Large - ₹23997.00,"3-piece luggage set (20"", 24"", 28"") with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/239mczon
Alexandria,Luggage Sets,Black & Orange / Small-Medium - ₹14498.00,"2-piece luggage set (20""/24"") with TSA lock, spinner wheels, and 5-year shell warranty.",https://tinyurl.com/2dj6qccn
Alexandria,Luggage Sets,Peach & Grey / Small-Medium-Large - ₹23997.00,"3-piece luggage set (20"", 24"", 28"") with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/2betmsy6
Alexandria,Luggage Sets,Peach & Grey / Small-Medium - ₹14498.00,"2-piece luggage set (20""/24"") for short trips, with TSA lock, spinner wheels, and 5-year shell warranty.",https://tinyurl.com/2a5xwpgn
Alexandria,Hardside Luggage,Black & Orange / Large - ₹9499.00,"Durable, large hard-shell suitcase (20kg) with TSA lock, spinner wheels, and roomy interior. 5-year shell/1-year accessory warranty.",https://tinyurl.com/24vz6fcp
Alexandria,Hardside Luggage,Black & Orange / Small - ₹6499.00,"Durable, compact hard-side suitcase (2-3 days, 8kg) with TSA lock, spinner wheels, and premium interior. 5-year shell/1-year accessory warranty (wear & tear excluded).",https://tinyurl.com/2bkyfyvx
Alexandria,Hardside Luggage,Peach & Grey / Small - ₹6499.00,"Durable, compact hard-side suitcase (2-3 days, 8kg) with TSA lock, spinner wheels, and premium interior. 5-year shell/1-year accessory warranty (wear & tear excluded).",https://tinyurl.com/24s4xlpt
Alexandria,Luggage Sets,Black & Orange / Small-Medium-Large - ₹23997.00,"3-piece luggage set (20"", 24"", 28"") with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/285slf2x
Alexandria,Hardside Luggage,Peach & Grey / Medium - ₹7999.00,"Durable medium hard-shell suitcase (15kg) with TSA lock, spinner wheels, and roomy interior. 5-year shell/1-year accessory warranty.",https://tinyurl.com/2yhccsgp
Alexandria,Hardside Luggage,Black & Orange / Medium - ₹7999.00,"Durable medium hard-shell suitcase (15kg), TSA lock, wet pouch, spinner wheels, 5-year shell warranty.",https://tinyurl.com/2cefsgpy
Alexandria,Luggage Sets,Peach & Grey / Medium-Large - ₹17498.00,"Durable 2-piece luggage set (medium & large) with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/29rofbn2
Alexandria,Hardside Luggage,Green & Purple / Small - ₹6499.00,"Durable, compact hard-side suitcase (2-3 days, 8kg) with TSA lock, spinner wheels, and premium interior. 5-year shell/1-year accessory warranty (wear & tear excluded).",https://tinyurl.com/2y3lml38
Alexandria,Luggage Sets,Black & Orange / Medium-Large - ₹17498.00,"Durable 2-piece luggage set (medium & large) with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/23nd2q57
Alexandria,Hardside Luggage,Green & Purple / Large - ₹9499.00,"Durable, large hard-shell suitcase (20kg) with TSA lock, spinner wheels, and premium interiors. 5-year shell/1-year accessory warranty.",https://tinyurl.com/258rnt6d
Alexandria,Luggage Sets,Grey & Teal / Small-Medium - ₹14498.00,"2-piece luggage set (20""/24"") for short trips, TSA lock, spinner wheels, 5-year shell warranty.",https://tinyurl.com/29djk972
Alexandria,Hardside Luggage,Green & Purple / Medium - ₹7999.00,"Durable medium hard-shell suitcase (15kg), TSA lock, wet pouch, spinner wheels, 5-year shell warranty.",https://tinyurl.com/2bgk98b4
Alexandria,Luggage Sets,Green & Purple / Small-Medium - ₹14498.00,"2-piece luggage set (20""/24"") for short trips.  TSA lock, spinner wheels, 5-year shell warranty.",https://tinyurl.com/22zm4uhz
Alexandria,Luggage Sets,Green & Purple / Medium-Large - ₹17498.00,"Durable 2-piece luggage set (medium & large) with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/29pjo3al
Alexandria,Luggage Sets,Teal & Peach / Medium-Large - ₹17498.00,"Durable 2-piece luggage set (medium & large) with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/2ay5m3rb
Alexandria,Hardside Luggage,Navy Blue & Peach / Medium - ₹7999.00,"Durable medium hard-shell suitcase (15kg), TSA lock, wet pouch, spinner wheels, 5-year shell warranty.",https://tinyurl.com/222qneok
Alexandria,Luggage Sets,Navy Blue & Peach / Small-Medium - ₹14498.00,"2-piece luggage set (20""/24"") for short trips, with TSA lock, spinner wheels, and 5-year shell warranty.",https://tinyurl.com/282xaqcl
Alexandria,Hardside Luggage,Navy Blue & Peach / Large - ₹9499.00,"Durable, large hard-shell suitcase (20kg) with TSA lock, spinner wheels, and premium interior for effortless travel. 5-year shell/1-year accessory warranty.",https://tinyurl.com/2ydh26rd
Alexandria,Hardside Luggage,Navy Blue & Peach / Small - ₹6499.00,"Durable, compact hard-side suitcase (2-3 days, 8kg) with TSA lock, spinner wheels, and premium interior. 5-year shell/1-year accessory warranty (wear & tear excluded).",https://tinyurl.com/2bxorpz6
Alexandria,Luggage Sets,Navy Blue & Peach / Small-Medium-Large - ₹23997.00,"3-piece luggage set (20"", 24"", 28"") with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/2bqflr29
Alexandria,Hardside Luggage,Grey & Teal / Medium - ₹7999.00,"Durable medium hard-shell suitcase (15kg) with TSA lock, spinner wheels, and roomy interior. 5-year shell/1-year accessory warranty.",https://tinyurl.com/27s4w65t
Alexandria,Hardside Luggage,Grey & Teal / Small - ₹6499.00,"Durable, compact hard-side suitcase (2-3 days, 8kg) with TSA lock, spinner wheels, and premium interior. 5-year shell/1-year accessory warranty (wear & tear excluded).",https://tinyurl.com/28foyxq5
Alexandria,Luggage Sets,Grey & Teal / Medium-Large - ₹17498.00,"Durable 2-piece luggage set (medium & large) with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/2744ohvo
Alexandria,Luggage Sets,Green & Purple / Small-Medium-Large - ₹23997.00,"3-piece luggage set (20"", 24"", 28"") with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/28ksq7mw
Alexandria,Hardside Luggage,Grey & Teal / Large - ₹9499.00,"Durable, large hard-shell suitcase (20kg) with TSA lock, spinner wheels, and roomy interior. 5-year shell/1-year accessory warranty.",https://tinyurl.com/2d8g43gj
Alexandria,Luggage Sets,Grey & Teal / Small-Medium-Large - ₹23997.00,"3-piece luggage set (20"", 24"", 28"") with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/25m498he
Alexandria,Hardside Luggage,Teal & Peach / Medium - ₹7999.00,"Durable medium hard-shell suitcase (15kg), TSA lock, wet pouch, spinner wheels, 5-year shell warranty.",https://tinyurl.com/2dbu9u3f
Alexandria,Luggage Sets,Navy Blue & Peach / Medium-Large - ₹17498.00,"Durable 2-piece luggage set (medium & large) with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/27l9kzw4
Alexandria,Hardside Luggage,Teal & Peach / Small - ₹6499.00,"Durable, compact hard-side suitcase (2-3 days, 8kg) with TSA lock, spinner wheels, and premium interior. 5-year shell/1-year accessory warranty (wear & tear excluded).",https://tinyurl.com/2b2fe5s4
Alexandria,Hardside Luggage,Teal & Peach / Large - ₹9499.00,"Durable, large hard-shell suitcase (20kg) with TSA lock, spinner wheels, and premium interiors. 5-year shell/1-year accessory warranty.",https://tinyurl.com/29raagkj
Alexandria,Luggage Sets,Teal & Peach / Small-Medium - ₹14498.00,"2-piece luggage set (20""/24"") for short trips, with TSA lock, spinner wheels, and 5-year shell warranty.",https://tinyurl.com/2y37hqxp
Alexandria,Luggage Sets,Teal & Peach / Small-Medium-Large - ₹23997.00,"3-piece luggage set (20"", 24"", 28"") with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/2bbtltgq
Antwerp,Hardside Luggage,Pastel Green / Large - ₹4799.00,"Durable, large hard-sided suitcase (28"") with TSA lock, expandable interior, and smooth wheels.  3-year shell/1-year accessory warranty.",https://tinyurl.com/28rh2dsg
Alexandria,Hardside Luggage,Purple & Blue / Medium - ₹7999.00,"Durable medium hard-shell suitcase (15kg), TSA lock, wet pouch, spinner wheels, 5-year shell warranty.",https://tinyurl.com/295svvsb
Alexandria,Luggage Sets,Purple & Blue / Small-Medium - ₹14498.00,"2-piece luggage set (20""/24"") with TSA lock, spinner wheels, and 5-year shell warranty.",https://tinyurl.com/255rmumx
Alexandria,Hardside Luggage,Purple & Blue / Small - ₹6499.00,"Durable, compact hard-side suitcase (2-3 days, 8kg) with TSA lock, spinner wheels, and premium interior. 5-year shell/1-year accessory warranty (wear & tear excluded).",https://tinyurl.com/2d9bdqlz
Alexandria,Luggage Sets,Purple & Blue / Small-Medium-Large - ₹23997.00,"3-piece luggage set (20"", 24"", 28"") with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/2674ewmq
Altitude,Backpack,Black - ₹999.00,"Black, 35L polyester backpack.  Durable, comfortable, and easy access.",https://tinyurl.com/25nkq7q4
Amsterdam,Hardside Luggage,Purple / Small - ₹2099.00,"Lightweight (2.6kg) 20"" hard-side carry-on, durable polypropylene, anti-theft zippers, expandable, TSA lock.",https://tinyurl.com/2xoxbhsv
Alexandria,Luggage Sets,Purple & Blue / Medium-Large - ₹17498.00,"Durable 2-piece luggage set (medium & large) with TSA lock, spinner wheels, and 5-year warranty.",https://tinyurl.com/2xu7fsvw
Amsterdam,Hardside Luggage,Red / Small - ₹2149.00,"Lightweight (2.6kg) 20"" hard-side carry-on, durable polypropylene, anti-theft zippers, expandable, TSA lock.",https://tinyurl.com/26o9bxn6
Altitude,Backpack,Navy Blue - ₹999.00,"Red, 35L polyester backpack.  Durable, comfortable, and lightweight.",https://tinyurl.com/2csknj8y
Alexandria,Hardside Luggage,Purple & Blue / Large - ₹9499.00,"Durable, large hard-shell suitcase (20kg) with TSA lock, spinner wheels, and roomy interior. 5-year shell/1-year accessory warranty.",https://tinyurl.com/2aqy6f6f
Altitude,Backpack,Red - ₹699.00,"Red, 35L polyester backpack.  Durable, comfortable, & lightweight.",https://tinyurl.com/2bhye3dk
Antwerp,Luggage Sets,Pastel Green / Medium-Large - ₹8749.00,"Durable, hard-sided 2-piece luggage set (24"", 28"") with TSA lock, expandable interior, and smooth wheels. 3-year shell/1-year accessory warranty.",https://tinyurl.com/2a2m633y
Antwerp,Luggage Sets,Purple / Small-Medium - ₹7399.00,"Durable 2-piece hard-sided luggage set (20"", 24"") with TSA lock, expandable interior, and smooth wheels. 3-year shell warranty.",https://tinyurl.com/2bfwyw7d
Antwerp,Luggage Sets,Pastel Green / Small-Medium-Large - ₹11999.00,"Durable, hard-sided 3-piece luggage set (20"", 24"", 28"") with TSA lock, expandability, and smooth wheels.",https://tinyurl.com/2yw5f73g
Antwerp,Hardside Luggage,Pastel Green / Medium - ₹4099.00,"Durable, 24"" hard-sided polypropylene check-in suitcase (15kg).  TSA lock, telescopic handle, expandable interior, 360° wheels.",https://tinyurl.com/2dddqtc5
Antwerp,Hardside Luggage,Pastel Green / Small - ₹3399.00,"Durable, 20"" hard-sided carry-on (up to 8kg) with TSA lock, telescopic handle, expandable interior, and 360° wheels.",https://tinyurl.com/2be8fzuf
Antwerp,Hardside Luggage,Purple / Small - ₹3399.00,"Durable, 20"" hard-sided carry-on (up to 8kg) with TSA lock, expandable interior, and smooth wheels. 3-year shell/1-year accessory warranty.",https://tinyurl.com/22xxou8f
Antwerp,Luggage Sets,Pastel Green / Small-Medium - ₹7399.00,"Durable 2-piece hard-sided luggage set (20"", 24"") with TSA lock, expandable interior, and smooth wheels. 3-year shell warranty.",https://tinyurl.com/23vaqhz6
Antwerp,Hardside Luggage,Purple / Medium - ₹4099.00,"Durable, 24"" hard-sided polypropylene check-in suitcase (15kg).  TSA lock, telescopic handle, expandable interior, 360° wheels.",https://tinyurl.com/2yrxnx6m
Antwerp,Luggage Sets,Black / Medium-Large - ₹8699.00,"Durable, hard-sided 2-piece luggage set (24"", 28"") with TSA lock, expandable interior, and smooth wheels. 3-year shell warranty.",https://tinyurl.com/273um3ug
Antwerp,Hardside Luggage,Purple / Large - ₹4799.00,"Durable, large hard-sided suitcase (28"") with TSA lock, expandable interior, and smooth wheels.  3-year shell/1-year accessory warranty.",https://tinyurl.com/27xggaak
Antwerp,Luggage Sets,Brown / Medium-Large - ₹8749.00,"Durable, hard-sided 2-piece luggage set (24"", 28"") with TSA lock, expandable interior, and smooth wheels. 3-year shell warranty.",https://tinyurl.com/2bjd7pr9
Antwerp,Luggage Sets,Purple / Medium-Large - ₹8749.00,"Durable, hard-sided 2-piece luggage set (24"", 28"") with TSA lock, expandable interior, and smooth wheels. 3-year shell warranty.",https://tinyurl.com/29k7tfcj
Antwerp,Luggage Sets,Purple / Small-Medium-Large - ₹11999.00,"Durable, hard-sided 3-piece luggage set (20"", 24"", 28"") with TSA lock, expandability, and smooth wheels.",https://tinyurl.com/27vc2zoh
Antwerp,Hardside Luggage,Black / Small - ₹3399.00,"Durable, 20"" hard-sided carry-on (up to 8kg) with TSA lock, expandable interior, and smooth wheels. 3-year shell/1-year accessory warranty.",https://tinyurl.com/26u2agno
Antwerp,Luggage Sets,Black / Small-Medium - ₹7399.00,"Durable 2-piece hard-sided luggage set (20"", 24"") with TSA lock, expandable interior, and smooth wheels. 3-year shell warranty.",https://tinyurl.com/2ct8usbp
Antwerp,Hardside Luggage,Black / Medium - ₹4099.00,"Durable, 24"" hard-sided polypropylene check-in suitcase (15kg).  TSA lock, telescopic handle, expandable interior, 360° wheels.",https://tinyurl.com/25yb4wsu
Antwerp,Hardside Luggage,Black / Large - ₹4799.00,"Durable, large hard-sided suitcase (28"") with TSA lock, expandable interior, and smooth wheels.  3-year shell/1-year accessory warranty.",https://tinyurl.com/2ao3hks9
Antwerp,Hardside Luggage,Brown / Small - ₹3399.00,"Durable, 20"" hard-sided carry-on (up to 8kg) with TSA lock, expandable interior, and smooth wheels. 3-year shell/1-year accessory warranty.",https://tinyurl.com/27r2kywm
Antwerp,Hardside Luggage,Brown / Large - ₹4799.00,"Durable, large hard-sided suitcase (28"") with TSA lock, expandable interior, and smooth wheels.  3-year shell warranty.",https://tinyurl.com/25xfs9nv
Antwerp,Luggage Sets,Brown / Small-Medium - ₹7399.00,"Durable 2-piece hard-sided luggage set (20"", 24"") with TSA lock, expandable interior, and smooth wheels. 3-year shell warranty.",https://tinyurl.com/27gq2l6y
Antwerp,Luggage Sets,Brown / Small-Medium-Large - ₹11999.00,"Durable 3-piece hard-sided luggage set (20"", 24"", 28"") with TSA lock, expandability, and smooth wheels.",https://tinyurl.com/2bsrfgfv
Antwerp,Hardside Luggage,Brown / Medium - ₹4099.00,"Durable, 24"" hard-sided polypropylene check-in suitcase (15kg).  TSA lock, telescopic handle, expandable interior, 360° wheels.",https://tinyurl.com/2y255lrz
Antwerp,Hardside Luggage,Green / Medium - ₹4099.00,"Durable, 24"" hard-sided polypropylene check-in suitcase (15kg).  TSA lock, telescopic handle, expandable interior, 360° wheels.",https://tinyurl.com/2cn8sv9w
Antwerp,Hardside Luggage,Green / Small - ₹3399.00,"Durable, 20"" hard-sided carry-on (up to 8kg) with TSA lock, expandable interior, and smooth wheels. 3-year shell/1-year accessory warranty.",https://tinyurl.com/28ov6adj
Antwerp,Hardside Luggage,Green / Large - ₹4799.00,"Durable, large hard-sided suitcase (28"") with TSA lock, expandable interior, and smooth wheels.  3-year shell/1-year accessory warranty.",https://tinyurl.com/2b88dlsm
Antwerp,Luggage Sets,Green / Small-Medium - ₹7399.00,"Durable 2-piece hard-sided luggage set (20"", 24"") with TSA lock, expandable interior, and smooth wheels. 3-year shell warranty.",https://tinyurl.com/27sq6f9k
Antwerp,Luggage Sets,Green / Medium-Large - ₹8749.00,"Durable 2-piece hard-sided luggage set (24"", 28"") with TSA lock, expandable interior, and 360° wheels.",https://tinyurl.com/2d94bcka
Antwerp,Hardside Luggage,Grey / Small - ₹3399.00,"Durable, 20"" hard-sided carry-on (up to 8kg) with TSA lock, expandable interior, and smooth 360° wheels. 3-year shell/1-year accessory warranty.",https://tinyurl.com/2ayqtcv2
Antwerp,Hardside Luggage,Grey / Medium - ₹3999.00,"Durable, 24"" hard-sided polypropylene check-in suitcase (15kg).  TSA lock, telescopic handle, expandable interior, 360° wheels.",https://tinyurl.com/2agry5jy
Antwerp,Hardside Luggage,Grey / Large - ₹4799.00,"Durable, large hard-sided suitcase (28"") with TSA lock, expandable interior, and smooth wheels.  3-year shell/1-year accessory warranty.",https://tinyurl.com/29l365hz
Antwerp,Luggage Sets,Grey / Small-Medium-Large - ₹11999.00,"Durable, hard-sided 3-piece luggage set (20"", 24"", 28"") with TSA lock, expandability, and smooth wheels.",https://tinyurl.com/27qlf6u6
Antwerp,Hardside Luggage,Maroon / Medium - ₹4149.00,"Durable, 24"" hard-sided polypropylene check-in suitcase (15kg).  TSA lock, telescopic handle, expandable interior, 360° wheels.",https://tinyurl.com/26spsvg9
Antwerp,Hardside Luggage,Maroon / Small - ₹3399.00,"Durable, 20"" hard-sided carry-on (up to 8kg) with TSA lock, expandable interior, and smooth wheels. 3-year shell/1-year accessory warranty.",https://tinyurl.com/2ye59fv4
Antwerp,Hardside Luggage,Maroon / Large - ₹4799.00,"Durable, large hard-sided suitcase (28"") with TSA lock, expandable interior, and smooth wheels.  3-year shell/1-year accessory warranty.",https://tinyurl.com/2dh94zyh
Antwerp,Luggage Sets,Maroon / Medium-Large - ₹8699.00,"Durable 2-piece hard-sided luggage set (24"", 28"") with TSA lock, expandable interior, and smooth wheels. 3-year shell warranty.",https://tinyurl.com/2xhj4pom
Antwerp,Hardside Luggage,Yellow / Small - ₹3399.00,"Durable, 20"" hard-sided carry-on (up to 8kg) with TSA lock, telescopic handle, expandable interior, and 360° wheels.",https://tinyurl.com/2827d7dt
Antwerp,Luggage Sets,Maroon / Small-Medium-Large - ₹11999.00,"Durable 3-piece hard-sided luggage set (20"", 24"", 28"") with TSA lock, expandability, and smooth wheels.",https://tinyurl.com/2bcwyxnx
Antwerp,Hardside Luggage,Yellow / Medium - ₹4099.00,"Durable, 24"" hard-sided polypropylene check-in suitcase (15kg).  TSA lock, telescopic handle, expandable interior, 360° wheels.",https://tinyurl.com/24ap26o8
Antwerp,Luggage Sets,Yellow / Small-Medium - ₹7399.00,"Durable 2-piece hard-sided luggage set (20"", 24"") with TSA lock, expandable interior, and smooth wheels. 3-year shell warranty.",https://tinyurl.com/26r29z6b
Antwerp,Luggage Sets,Yellow / Medium-Large - ₹8749.00,"Durable 2-piece hard-sided luggage set (24"", 28"") with TSA lock, expandable interior, and smooth wheels. 3-year shell warranty.",https://tinyurl.com/22soju9v
Antwerp,Luggage Sets,Yellow / Small-Medium-Large - ₹11999.00,"Durable 3-piece hard-sided luggage set (20"", 24"", 28"") with TSA lock, expandability, and smooth wheels.",https://tinyurl.com/28jc98e9
Antwerp,Hardside Luggage,Pink / Small - ₹3399.00,"Durable, 20"" hard-sided carry-on (up to 8kg) with TSA lock, expandable interior, and smooth wheels. 3-year shell/1-year accessory warranty.",https://tinyurl.com/2dzwnvbf
Antwerp,Hardside Luggage,Pink / Medium - ₹4099.00,"Durable, 24"" hard-sided polypropylene check-in suitcase (15kg).  TSA lock, telescopic handle, expandable interior, 360° wheels.",https://tinyurl.com/22zf2gga
Antwerp,Hardside Luggage,Pink / Large - ₹4799.00,"Durable, large hard-sided suitcase (28"") with TSA lock, expandable interior, and smooth wheels.  3-year shell/1-year accessory warranty.",https://tinyurl.com/2dyrrub2
Aurora,Backpack,Black-Green - ₹1299.00,"Spacious, 40L polyester travel backpack.  Grey-Sky Blue.  Laptop, daily essentials compartments.",https://tinyurl.com/25fgx2bu
Antwerp,Hardside Luggage,Yellow / Large - ₹4799.00,"Durable, large hard-sided suitcase (28"") with TSA lock, expandable interior, and smooth wheels.  3-year shell/1-year accessory warranty.",https://tinyurl.com/24xfhpuk
Axis,Hardside Luggage,Black / Small - ₹2999.00,"Lightweight, durable 20"" cabin luggage (55cm) with spinner wheels, number lock, and spacious compartments.",https://tinyurl.com/284q9asq
Aurora,Backpack,Navy Blue-Grey - ₹999.00,"Spacious, grey-blue polyester laptop backpack (40L) with padded back, multiple compartments, and laptop sleeve.",https://tinyurl.com/2b9hs734
Axis,Hardside Luggage,Black / Large - ₹3499.00,"Durable, lightweight 28"" hard-side luggage (75cm) with spinner wheels, number lock, and spacious compartments.",https://tinyurl.com/2ae85244
Axis,Hardside Luggage,Black / Medium - ₹3299.00,"Lightweight, durable 24-inch (65cm) checked luggage (5-7 days).  Number lock, spinner wheels, and multiple handles for easy travel.",https://tinyurl.com/26tl5ll8
Antwerp,Luggage Sets,Pink / Small-Medium - ₹7399.00,"Durable 2-piece hard-sided luggage set (20"", 24"") with TSA lock, expandable interior, and smooth wheels. 3-year shell warranty.",https://tinyurl.com/23galou7
Aurora,Backpack,Black-Grey - ₹999.00,"Spacious, grey-blue polyester laptop backpack (40L) with padded back, multiple compartments, and laptop sleeve.",https://tinyurl.com/2af3ep93
Axis,Luggage Sets,Black / Small-Medium-Large - ₹7699.00,"Lightweight, durable 3-piece hard-side luggage set (55, 65, 75cm) with spinner wheels, number lock, and spacious compartments.",https://tinyurl.com/29ovgr6u
Axis,Hardside Luggage,Teal / Medium - ₹3299.00,"Lightweight, durable 24-inch (65cm) checked luggage.  Security number lock, smooth spinner wheels, and spacious compartments.",https://tinyurl.com/27fgl2vj
Axis,Luggage Sets,Orange / Small-Medium - ₹5999.00,"Lightweight, durable 2-piece hard-side luggage set (55cm/65cm) with spinner wheels, number lock, and multiple handles.",https://tinyurl.com/2cydczf8
Aurora,Backpack,Grey-Sky Blue - ₹1299.00,"Spacious, grey-blue polyester laptop backpack (40L) with padded back, multiple compartments, and laptop sleeve.",https://tinyurl.com/243ydtch
Axis,Luggage Sets,Black / Small-Medium - ₹5499.00,"Lightweight, durable 2-piece hard-side luggage set (55cm/65cm) with spinner wheels, number lock, and multiple handles.",https://tinyurl.com/2b8mzgv5
Axis,Luggage Sets,Black / Medium-Large - ₹6299.00,"Lightweight, durable 2-piece hard-side luggage (65cm/75cm) with number lock, spinner wheels, and telescopic handle.",https://tinyurl.com/2yejebxk
Axis,Hardside Luggage,Teal / Large - ₹3499.00,"Durable, lightweight 28"" hard-side luggage (75cm) with spinner wheels, number lock, and spacious compartments.",https://tinyurl.com/2a3vklag
